Draw,Date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2
4415,11/11/2023,1,2,23,24,28,30,29,39
4413,04/11/2023,1,5,14,15,34,42,40,45
4411,28/10/2023,12,13,14,18,30,35,2,43
4409,21/10/2023,2,7,12,29,30,31,9,33
4407,14/10/2023,7,10,11,23,24,38,4,14
4405,07/10/2023,18,23,25,28,35,37,8,16
4403,30/09/2023,6,20,27,29,43,45,9,36
4401,23/09/2023,4,13,16,21,29,45,6,11
4399,16/09/2023,11,23,27,28,37,41,1,2
4397,09/09/2023,7,9,11,14,15,29,17,23
4395,02/09/2023,9,16,32,37,40,41,26,30
4393,26/08/2023,6,10,18,32,33,37,21,23
4391,19/08/2023,14,16,24,34,41,44,21,30
4389,12/08/2023,5,10,30,32,34,42,19,45
4387,05/08/2023,1,2,18,24,36,43,9,31
4385,29/07/2023,3,14,32,37,42,45,17,20
4383,22/07/2023,1,5,14,26,32,33,8,37
4381,15/07/2023,18,25,31,32,37,39,12,34
4379,08/07/2023,5,26,29,34,37,41,31,42
4377,01/07/2023,6,7,19,21,26,38,13,36
4375,24/06/2023,4,8,21,29,30,37,38,45
4373,17/06/2023,8,24,27,36,39,41,22,26
4371,10/06/2023,2,11,12,23,42,43,7,44
4369,03/06/2023,1,12,24,26,37,41,25,45
4367,27/05/2023,7,8,22,28,34,37,1,23
4365,20/05/2023,2,8,11,12,25,32,16,22
4363,13/05/2023,6,22,23,24,33,36,18,34
4361,06/05/2023,2,8,13,17,30,35,5,34
4359,29/04/2023,4,15,16,18,35,45,11,17
4357,22/04/2023,4,29,32,34,38,41,11,27
4355,15/04/2023,4,16,23,31,39,43,17,18
4353,08/04/2023,4,6,9,11,13,40,18,20
4351,01/04/2023,5,10,25,36,39,45,8,40
4349,25/03/2023,8,9,10,14,39,42,12,31
4347,18/03/2023,1,6,15,21,43,44,34,42
4345,11/03/2023,1,4,9,10,29,42,7,17
4343,04/03/2023,1,9,13,32,33,34,8,15
4341,25/02/2023,4,12,13,15,29,45,2,27
4339,18/02/2023,8,11,16,24,30,34,18,21
4337,11/02/2023,4,7,19,20,21,22,16,17
4335,04/02/2023,11,27,31,34,39,45,5,28
4333,28/01/2023,7,24,27,30,39,44,5,38
4331,21/01/2023,9,10,11,23,32,40,5,17
4329,14/01/2023,11,19,30,37,39,45,3,21
4327,07/01/2023,2,9,11,17,18,38,37,41
4325,31/12/2022,11,20,23,35,42,45,8,38
4323,24/12/2022,4,7,8,24,32,39,17,34
4321,17/12/2022,3,8,28,36,37,41,9,16
4319,10/12/2022,6,14,22,24,35,44,10,39
4317,03/12/2022,4,8,10,12,15,39,37,45
4315,26/11/2022,12,14,22,29,31,45,11,36
4313,19/11/2022,9,12,14,23,31,43,13,29
4311,12/11/2022,3,6,12,18,31,35,9,34
4309,05/11/2022,12,19,26,29,39,45,13,15
4307,29/10/2022,3,6,7,9,22,42,13,16
4305,22/10/2022,7,17,21,24,35,41,5,23
4303,15/10/2022,5,7,11,12,24,40,15,28
4301,08/10/2022,17,20,23,33,37,45,18,22
4299,01/10/2022,9,20,25,30,32,40,34,35
4297,24/09/2022,5,7,10,14,34,41,4,44
4295,17/09/2022,4,7,9,21,23,25,6,11
4293,10/09/2022,2,8,11,31,32,45,14,41
4291,03/09/2022,3,6,10,18,21,39,41,43
4289,27/08/2022,2,3,6,23,41,42,24,39
4287,20/08/2022,6,16,34,35,37,42,18,40
4285,13/08/2022,1,15,20,29,35,38,8,31
4283,06/08/2022,14,15,24,31,33,39,4,40
4281,30/07/2022,8,12,17,21,26,42,13,35
4279,23/07/2022,3,20,24,32,38,40,5,31
4277,16/07/2022,8,11,19,23,35,37,34,42
4275,09/07/2022,6,23,30,37,43,44,1,45
4273,02/07/2022,10,15,17,31,37,42,7,11
4271,25/06/2022,6,16,18,20,25,36,33,39
4269,18/06/2022,1,11,22,27,34,37,43,44
4267,11/06/2022,10,11,19,21,39,45,25,35
4265,04/06/2022,7,8,13,17,23,25,31,42
4263,28/05/2022,15,17,19,28,32,33,2,24
4261,21/05/2022,5,9,13,23,38,41,4,43
4259,14/05/2022,15,20,25,27,35,39,9,21
4257,07/05/2022,6,7,11,13,17,45,23,43
4255,30/04/2022,3,8,10,20,36,42,9,45
4253,23/04/2022,3,23,31,33,39,45,17,20
4251,16/04/2022,11,12,14,15,23,37,20,42
4249,09/04/2022,1,8,19,31,35,40,15,38
4247,02/04/2022,1,4,6,15,21,27,19,41
4245,26/03/2022,2,8,13,21,22,33,10,27
4243,19/03/2022,10,24,32,34,38,43,6,25
4241,12/03/2022,4,29,35,37,40,41,21,27
4239,05/03/2022,2,16,18,19,30,40,9,28
4237,26/02/2022,3,7,16,23,26,34,17,35
4235,19/02/2022,1,5,18,20,23,34,9,35
4233,12/02/2022,13,35,36,37,42,43,5,15
4231,05/02/2022,2,9,10,11,22,37,6,40
4229,29/01/2022,8,9,22,23,34,40,13,17
4227,22/01/2022,1,12,14,21,39,43,19,32
4225,15/01/2022,3,11,19,33,38,42,13,39
4223,08/01/2022,3,17,20,24,27,29,9,18
4221,31/12/2021,8,14,15,20,32,43,31,35
4219,25/12/2021,6,19,21,30,31,42,15,38
4217,18/12/2021,1,19,25,29,36,44,21,35
4215,11/12/2021,6,12,27,35,37,39,2,19
4213,04/12/2021,8,24,31,39,44,45,21,41
4211,27/11/2021,3,5,27,34,41,45,10,24
4209,20/11/2021,9,17,20,21,25,33,4,19
4207,13/11/2021,17,22,26,29,32,40,12,21
4205,06/11/2021,11,15,28,30,33,39,19,35
4203,30/10/2021,4,16,26,29,30,32,37,43
4201,23/10/2021,9,10,16,22,26,32,17,38
4199,16/10/2021,2,7,17,26,27,38,1,19
4197,09/10/2021,18,22,24,34,40,42,19,37
4195,02/10/2021,13,17,26,28,33,44,18,38
4193,25/09/2021,6,28,29,33,36,40,26,43
4191,18/09/2021,5,6,15,18,36,43,24,29
4189,11/09/2021,8,10,17,23,26,34,36,41
4187,04/09/2021,14,29,31,33,44,45,19,26
4185,28/08/2021,17,19,21,22,23,30,32,43
4183,21/08/2021,6,19,34,35,40,43,22,45
4181,14/08/2021,3,9,13,19,24,28,29,35
4179,07/08/2021,5,11,12,22,28,36,1,9
4177,31/07/2021,13,16,18,32,33,41,9,19
4175,24/07/2021,12,16,26,27,30,40,13,15
4173,17/07/2021,2,14,30,32,35,38,10,45
4171,10/07/2021,22,23,28,30,34,38,16,20
4169,03/07/2021,2,7,27,33,37,42,10,20
4167,26/06/2021,1,24,26,32,34,36,7,27
4165,19/06/2021,12,14,30,34,40,41,15,27
4163,12/06/2021,5,13,15,28,37,45,1,43
4161,05/06/2021,1,11,24,32,33,44,20,35
4159,29/05/2021,2,7,16,28,30,42,22,35
4157,22/05/2021,6,7,9,13,23,27,1,33
4155,15/05/2021,5,15,16,19,20,41,4,21
4153,08/05/2021,2,4,9,26,31,41,18,25
4151,01/05/2021,5,14,18,22,31,42,1,8
4149,24/04/2021,2,4,8,31,32,44,35,36
4147,17/04/2021,5,13,17,33,38,44,22,35
4145,10/04/2021,7,8,20,22,26,42,14,16
4143,03/04/2021,1,21,31,38,39,41,6,43
4141,27/03/2021,2,4,12,23,24,35,15,37
4139,20/03/2021,8,9,13,19,22,32,15,25
4137,13/03/2021,15,17,22,27,37,40,2,4
4135,06/03/2021,11,16,26,32,39,42,6,30
4133,27/02/2021,4,6,24,35,42,45,36,38
4131,20/02/2021,3,5,9,26,35,41,28,45
4129,13/02/2021,1,3,4,22,42,43,24,25
4127,06/02/2021,3,6,8,10,12,24,36,45
4125,30/01/2021,3,6,15,20,30,31,2,26
4123,23/01/2021,1,6,8,10,29,40,31,42
4121,16/01/2021,4,12,14,17,22,33,25,28
4119,09/01/2021,7,9,20,22,34,45,10,12
4117,02/01/2021,5,7,14,16,17,44,26,31
4115,26/12/2020,2,5,11,21,30,32,25,42
4113,19/12/2020,9,16,26,35,39,41,13,33
4111,12/12/2020,14,16,35,38,40,43,1,33
4109,05/12/2020,1,9,11,24,32,41,15,38
4107,28/11/2020,10,18,20,34,35,37,7,41
4105,21/11/2020,2,21,27,37,39,42,7,11
4103,14/11/2020,6,15,23,26,27,45,2,29
4101,07/11/2020,1,3,7,8,15,35,5,10
4099,31/10/2020,4,13,19,26,27,34,6,15
4097,24/10/2020,3,23,30,31,38,45,19,40
4095,17/10/2020,5,8,12,14,16,38,3,17
4093,10/10/2020,5,12,24,26,34,37,2,3
4091,03/10/2020,3,11,21,24,29,38,36,40
4089,26/09/2020,1,7,22,28,36,42,11,14
4087,19/09/2020,1,8,14,23,26,41,12,33
4085,12/09/2020,12,27,28,31,36,39,6,24
4083,05/09/2020,2,3,13,32,37,38,29,36
4081,29/08/2020,13,16,20,25,40,44,4,28
4079,22/08/2020,2,7,9,16,33,43,20,34
4077,15/08/2020,13,16,29,34,35,41,12,45
4075,08/08/2020,1,11,17,18,34,42,19,43
4073,01/08/2020,8,9,23,29,38,42,13,17
4071,25/07/2020,6,9,16,32,37,44,11,12
4069,18/07/2020,2,18,21,22,35,43,10,37
