Draw,Date,Winning Number 1,2,3,4,5,6,7,Supplementary Number 1,2,3,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
1632,2025-05-27,12,16,24,37,39,45,46,19,31,44,39,2,5,3,4,0,2,1,2,2,0,0.00,12,51531.15,144,5075.05,1368,410.95,7576,59.35,192310,28.95,510725,17.50
1631,2025-05-20,21,22,25,31,32,36,39,16,29,37,39,2,5,4,3,0,0,3,4,0,0,0.00,8,53571.60,97,5221.60,949,410.55,5575,55.90,139363,27.70,361035,17.15
1630,2025-05-13,9,10,16,18,26,39,40,20,35,43,,4,3,2,5,2,2,1,2,0,0,0.00,7,48832.15,89,4539.05,703,442.05,4431,56.10,113008,27.20,288409,17.15
1629,2025-05-06,6,17,19,28,35,43,47,3,18,45,43,3,4,5,2,1,2,1,1,2,0,0.00,4,65258.00,62,4975.70,565,420.00,3249,58.45,82422,28.50,224683,16.80
1628,2025-04-29,2,16,27,30,34,38,43,9,14,31,"2,16,27",2,5,2,5,1,1,2,2,1,0,0.00,5,42246.85,39,6401.05,438,438.45,2619,58.65,67811,28.05,180399,16.95
1627,2025-04-22,2,3,16,23,27,31,37,21,28,34,23,4,3,5,2,2,1,2,2,0,0,0.00,5,30178.05,42,4245.85,367,373.75,2288,47.95,55421,24.50,140486,15.55
1626,2025-04-15,8,13,14,23,29,32,41,4,40,43,29,4,3,4,3,1,2,2,1,1,1,70000000.00,41,24374.50,289,4086.70,2545,357.00,14692,49.45,351775,25.55,879213,16.45
1625,2025-04-08,17,18,21,24,29,30,44,9,12,43,"29,30",3,4,3,4,0,2,4,0,1,0,0.00,13,49454.45,145,5240.00,1602,364.85,8991,52.00,225960,25.60,586760,15.85
1624,2025-04-01,4,8,28,29,30,36,40,37,44,47,"8,40",2,5,1,6,2,0,3,2,0,0,0.00,13,33325.90,121,4231.45,925,425.80,5834,54.00,149973,26.00,356732,17.55
1623,2025-03-25,8,13,19,26,39,40,44,16,20,46,39,3,4,3,4,1,2,1,2,1,0,0.00,11,30808.40,66,6068.30,754,408.60,4864,50.65,116609,26.15,282521,17.35
