Draw,Date,Winning Number 1,2,3,4,5,6,7,Supplementary Number 1,2,3,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
1531,2023-06-20,5,19,22,23,30,36,38,11,42,47,"5,22",4,3,3,4,1,1,3,2,0,0,0.00,3,41816.35,33,4492.65,324,352.00,1799,50.70,45759,24.65,109157,16.60
1530,2023-06-13,5,12,14,21,22,35,37,17,46,47,5,5,2,4,3,1,2,2,2,0,1,20000000.00,5,54938.00,62,5236.00,582,429.05,4154,48.10,100310,24.65,220762,18.00
1529,2023-06-06,1,3,5,8,19,26,46,28,35,40,,5,2,4,3,4,1,1,0,1,0,0.00,2,106294.25,75,3349.90,486,397.65,3634,42.55,82741,23.10,192287,16.00
1528,2023-05-30,10,17,20,30,41,42,43,1,6,14,41,3,4,3,4,1,2,1,0,3,0,0.00,3,52242.60,40,4630.60,352,404.75,2086,54.65,50534,27.90,136285,16.60
1527,2023-05-23,3,4,5,15,18,41,45,25,33,42,"5,45",5,2,5,2,3,2,0,0,2,0,0.00,4,34512.80,28,5826.85,345,363.75,2047,49.05,49993,24.85,122586,16.30
1526,2023-05-16,5,17,21,22,34,37,45,35,41,47,21,4,3,5,2,1,1,2,2,1,2,15000000.00,6,77352.25,108,5078.70,1057,399.15,6938,48.65,165577,25.25,384186,17.45
1525,2023-05-09,3,11,21,28,35,40,46,20,39,44,28,3,4,4,3,1,1,2,2,1,0,0.00,7,48962.70,71,5705.00,734,424.50,4459,55.90,111016,27.80,281437,17.60
1524,2023-05-02,1,7,20,26,28,29,45,4,11,16,"7,28",3,4,4,3,2,1,3,0,1,0,0.00,4,58093.05,54,5085.60,666,317.20,3440,49.15,88576,23.60,240713,13.95
1523,2023-04-25,7,8,9,21,24,28,31,2,10,11,,4,3,4,3,3,0,3,1,0,0,0.00,5,30900.20,48,3804.00,651,215.75,2791,40.25,66245,21.00,184213,12.10
1522,2023-04-18,3,4,5,6,26,34,46,15,22,29,46,4,3,2,5,4,0,1,1,1,0,0.00,2,73551.40,32,5432.75,284,470.90,1724,62.05,48186,27.50,126938,16.75
1521,2023-04-11,9,12,15,19,21,46,47,16,30,34,"19,47",5,2,5,2,1,3,1,0,2,1,30000000.00,6,64355.20,88,5185.65,779,450.60,4682,60.00,118406,29.35,309825,18.00
1520,2023-04-04,2,19,26,28,39,42,47,9,23,37,19,2,5,3,4,1,1,2,1,2,0,0.00,3,107818.60,78,4900.85,675,435.65,3791,62.05,98492,29.55,270541,17.30
1519,2023-03-28,3,7,15,16,19,35,38,13,32,39,"19,38",5,2,5,2,2,3,0,2,0,0,0.00,10,23459.60,70,3960.70,656,325.10,3521,48.45,87323,24.20,218273,15.55
1518,2023-03-21,1,4,6,9,19,30,38,10,13,37,,5,2,3,4,4,1,1,1,0,0,0.00,3,53150.95,61,3089.25,548,264.50,3100,37.40,67915,21.15,163582,14.10
1517,2023-03-14,3,18,27,34,40,41,44,5,12,46,44,2,5,3,4,1,1,1,2,2,0,0.00,3,47832.00,40,4239.65,295,442.20,1868,55.85,46504,27.75,114682,18.10
1516,2023-03-07,4,26,28,31,33,44,47,9,11,20,31,1,6,3,4,1,0,2,2,2,1,20000000.00,4,83614.30,58,6814.95,713,426.45,3881,62.65,103216,29.15,287538,16.80
1515,2023-02-28,1,5,6,29,31,39,42,3,27,44,1,3,4,5,2,3,0,1,2,1,0,0.00,6,34635.65,43,5711.60,464,407.15,2689,56.20,68822,27.20,189572,15.85
1514,2023-02-21,1,3,4,21,24,36,38,43,44,46,38,4,3,3,4,3,0,2,2,0,0,0.00,4,38593.85,32,5701.35,302,464.70,2181,51.50,53351,26.05,118244,18.85
1513,2023-02-14,5,8,14,18,27,38,41,2,11,13,"5,14,18",4,3,3,4,2,2,1,1,1,0,0.00,6,24553.60,49,3553.20,461,290.50,2204,48.60,54104,24.50,149203,14.25
1512,2023-02-07,5,7,14,18,20,22,43,1,2,33,5,6,1,3,4,2,3,1,0,1,2,10000000.00,24,13413.60,133,2860.60,993,294.70,5227,44.80,122987,23.55,317317,14.65
1511,2023-01-31,5,6,9,10,24,27,34,13,26,39,,4,3,3,4,4,0,2,1,0,0,0.00,5,40765.90,72,3345.70,502,369.10,3364,44.05,82697,22.20,198794,14.80
1510,2023-01-24,7,8,18,30,43,44,46,9,10,32,46,3,4,2,5,2,1,1,0,3,0,0.00,2,78434.60,28,6621.10,261,546.40,1628,70.10,43917,32.15,124565,18.20
1509,2023-01-17,9,10,11,33,37,38,46,21,24,32,"10,37,38",3,4,4,3,2,1,0,3,1,0,0.00,4,35072.70,28,5921.35,266,479.45,1429,71.40,38892,32.45,108670,18.65
1508,2023-01-10,7,10,26,27,37,38,42,33,34,47,7,2,5,3,4,2,0,2,2,1,1,3000000.00,4,36703.00,39,4448.85,297,449.40,2320,46.00,53277,24.80,118978,17.85
1507,2023-01-03,7,20,24,30,35,41,43,17,19,40,,2,5,4,3,1,1,2,1,2,1,20000000.00,8,41240.70,90,4332.35,843,355.80,4413,54.35,110243,26.95,292577,16.30
1506,2022-12-27,4,8,12,19,21,27,33,7,16,24,"12,27",5,2,4,3,2,2,2,1,0,0,0.00,13,13771.80,86,2460.30,770,211.35,3518,37.00,79166,20.35,203139,12.75
1505,2022-12-20,9,10,12,14,27,29,37,31,40,47,37,4,3,4,3,2,2,2,1,0,0,0.00,4,37121.25,38,4617.95,333,405.35,2588,41.75,58798,22.75,121849,17.60
1504,2022-12-13,11,13,17,25,35,37,38,14,23,42,11,3,4,6,1,0,3,1,3,0,0,0.00,3,45117.20,38,4209.50,314,391.85,1862,52.85,47635,25.55,124283,15.75
1503,2022-12-06,2,5,11,24,32,34,44,20,39,46,"11,24",3,4,2,5,2,1,1,2,1,1,30000000.00,13,29833.95,107,4283.70,831,424.30,5417,52.05,134469,25.95,319647,17.55
1502,2022-11-29,3,9,11,15,20,24,40,26,28,45,"15,40",5,2,4,3,2,3,1,1,0,0,0.00,8,38982.50,95,3879.60,883,321.05,5123,44.25,119985,23.40,297986,15.15
1501,2022-11-22,1,12,15,19,22,27,40,23,33,35,22,5,2,4,3,1,3,2,1,0,0,0.00,6,34055.00,71,3401.15,678,273.95,3329,44.65,81144,22.65,195237,15.15
1500,2022-11-15,4,11,14,22,25,33,44,19,23,42,,4,3,3,4,1,2,2,1,1,0,0.00,6,37797.60,98,2734.90,465,443.40,3591,46.00,70260,29.10,165266,19.85
1499,2022-11-08,1,2,19,23,28,30,40,21,25,44,30,4,3,3,4,2,1,3,1,0,0,0.00,2,71194.15,35,4807.90,375,345.20,2417,42.85,54113,23.70,134722,15.30
1498,2022-11-01,6,9,13,18,26,30,31,16,22,37,9,4,3,3,4,2,2,2,1,0,1,20000000.00,10,38846.45,122,3763.05,1037,340.55,6433,43.90,149608,23.35,370626,15.15
1497,2022-10-25,1,7,9,15,23,32,39,18,36,40,15,5,2,6,1,3,1,1,2,0,0,0.00,6,34907.00,45,5500.50,535,355.90,3034,50.20,77448,24.35,185894,16.30
1496,2022-10-18,8,14,15,21,25,37,42,13,17,45,,4,3,4,3,1,2,2,1,1,0,0.00,3,49269.10,33,5293.40,331,405.95,2004,53.65,50262,26.45,134428,15.90
1495,2022-10-11,16,19,23,27,31,32,47,2,14,45,47,3,4,5,2,0,2,2,2,1,0,0.00,5,27602.35,36,4530.70,284,441.80,1554,64.60,40308,30.80,110589,18.05
1494,2022-10-04,5,17,20,37,39,42,47,22,29,38,,3,4,5,2,1,2,0,2,2,1,50000000.00,14,47858.55,135,5865.50,1463,416.35,8232,59.20,210303,28.65,558496,17.35
1493,2022-09-27,2,6,9,10,33,35,36,16,21,41,33,4,3,3,4,4,0,0,3,0,0,0.00,12,35685.55,86,5884.70,915,425.45,5827,53.45,149244,25.80,380603,16.25
1492,2022-09-20,5,21,22,24,29,33,37,8,14,23,"33,37",3,4,5,2,1,0,4,2,0,0,0.00,8,43965.85,113,3678.55,868,368.40,5150,49.65,125522,25.20,328390,15.50
1491,2022-09-13,11,13,14,16,28,33,37,10,29,31,28,4,3,4,3,0,4,1,2,0,0,0.00,3,80442.10,52,5484.70,600,365.65,3310,53.00,85935,25.25,227407,15.35
1490,2022-09-06,8,12,19,28,32,34,41,9,18,20,"12,28,32,34",3,4,2,5,1,2,1,2,1,0,0.00,0,0.00,33,9958.35,340,402.75,2199,49.80,52993,25.60,139553,15.60
1489,2022-08-30,12,24,27,28,32,34,39,17,18,22,,1,6,2,5,0,1,3,3,0,0,0.00,3,43690.90,27,5737.20,313,380.70,1689,56.45,43616,27.05,122316,15.50
1488,2022-08-23,1,3,5,6,18,21,23,10,35,40,5,7,0,5,2,4,1,2,0,0,1,10280940.96,7,36448.00,156,1932.85,805,288.15,5510,33.70,116182,19.75,252984,14.60
1487,2022-08-16,4,5,17,28,36,45,47,6,30,46,45,3,4,4,3,2,1,1,1,2,0,0.00,0,0.00,31,12235.60,278,568.50,1945,65.00,51964,30.10,131165,19.15
1486,2022-08-09,13,16,21,32,37,43,45,28,31,46,,3,4,5,2,0,2,1,2,2,0,0.00,3,45576.45,39,4143.30,318,390.90,1912,52.00,47075,26.15,106633,18.55
1485,2022-08-02,22,23,27,33,38,39,42,4,20,37,"23,27,42",2,5,4,3,0,0,3,3,1,1,20000000.00,10,35788.40,87,4861.55,897,362.70,4669,55.75,121111,26.60,313553,16.50
1484,2022-07-26,11,23,27,29,30,41,42,8,9,15,11,2,5,5,2,0,1,4,0,2,0,0.00,8,31202.65,58,5086.35,645,351.85,3331,54.50,87814,25.60,237651,15.20
1483,2022-07-19,7,9,11,12,21,28,34,2,4,16,,5,2,4,3,2,2,2,1,0,0,0.00,7,36616.10,76,3985.75,806,289.15,3943,47.30,88617,26.00,227440,16.35
1482,2022-07-12,1,5,14,18,24,38,40,27,36,47,,4,3,2,5,2,2,1,2,0,0,0.00,3,48416.80,30,5722.00,315,419.20,1994,53.00,50353,25.95,116660,18.00
1481,2022-07-05,2,17,20,22,29,31,41,7,18,36,,4,3,4,3,1,2,2,1,1,1,30000000.00,11,39302.70,116,4404.60,1057,371.85,6359,49.45,153749,25.30,401661,15.55
1480,2022-06-28,23,28,38,42,43,44,47,24,39,41,,1,6,3,4,0,0,2,1,4,0,0.00,8,33227.15,61,5149.95,575,420.25,2960,65.30,78689,30.40,204076,18.85
1479,2022-06-21,7,11,12,16,40,41,45,3,24,46,16,4,3,4,3,1,3,0,1,2,0,0.00,1,197649.15,43,5432.20,417,430.90,2647,54.30,67254,26.45,167949,17.00
1478,2022-06-14,2,3,16,22,24,25,35,31,36,44,"3,25",4,3,3,4,2,1,3,1,0,0,0.00,0,0.00,48,6658.60,289,460.80,2223,47.95,53228,24.75,125774,16.85
1477,2022-06-07,3,4,12,25,28,33,37,9,17,19,,3,4,4,3,2,1,2,2,0,0,0.00,2,68163.30,41,3929.60,451,274.80,2045,48.50,50524,24.30,143466,13.75
1476,2022-05-31,20,21,27,30,32,36,40,8,14,28,,2,5,2,5,0,1,3,3,0,1,5759193.22,4,42865.75,59,3434.55,436,357.50,2405,51.85,58755,26.25,156526,15.85
1475,2022-05-24,5,19,29,37,45,46,47,40,42,43,"5,45",2,5,6,1,1,1,1,1,3,0,0.00,0,0.00,31,10238.55,242,546.50,1550,68.25,38645,33.90,99224,21.20
1474,2022-05-17,5,8,21,30,39,44,45,1,25,40,,3,4,4,3,2,0,2,1,2,1,10000000.00,10,21864.95,41,6302.55,565,351.80,3068,51.85,74848,26.30,201800,15.65
1473,2022-05-10,1,3,6,7,19,42,43,26,28,,,5,2,5,2,4,1,0,0,2,0,0.00,3,38096.40,59,3988.15,329,367.80,3027,46.65,72063,22.40,123918,14.60
1472,2022-05-03,4,8,15,17,21,29,44,34,41,,"4,17",5,2,4,3,2,2,2,0,1,0,0.00,2,47459.40,40,4885.50,274,366.80,2649,44.25,57840,23.15,89437,16.80
1471,2022-04-26,4,5,17,22,30,34,45,31,44,,5,4,3,3,4,2,1,2,1,1,1,20000000.00,3,82466.40,104,4897.60,603,434.40,6145,49.75,138587,25.20,238095,16.45
1470,2022-04-19,5,6,15,21,27,32,37,8,28,,27,4,3,5,2,2,1,2,2,0,0,0.00,4,46521.20,75,5108.20,576,342.05,5101,45.05,107091,24.55,190084,15.50
1469,2022-04-12,2,14,23,25,26,27,30,4,36,,30,2,5,3,4,1,1,5,0,0,0,0.00,3,42826.75,59,4483.35,376,361.80,3591,44.20,79046,22.95,131266,15.50
1468,2022-04-05,3,5,30,34,37,40,45,2,25,,,2,5,4,3,2,0,1,3,1,0,0.00,2,47650.00,30,6540.20,236,427.55,2040,57.70,48638,27.65,87883,17.15
1467,2022-03-29,4,7,14,15,17,23,43,3,16,,7,5,2,5,2,2,3,1,0,1,1,2370328.03,5,20162.00,36,5765.25,350,304.95,2722,45.75,62452,22.80,111229,14.35
1466,2022-03-22,2,7,9,12,16,22,27,8,13,,"7,12",6,1,3,4,3,2,2,0,0,1,5543173.97,8,17032.90,138,2032.90,675,213.75,5467,30.80,101210,19.00,172567,12.50
1465,2022-03-15,6,7,12,17,33,37,41,11,34,,7,4,3,5,2,2,2,0,2,1,0,0.00,0,0.00,41,7406.85,272,386.45,2268,54.05,54720,25.60,99402,15.80
1464,2022-03-08,7,14,24,26,35,44,45,5,12,,,2,5,3,4,1,1,2,1,2,1,11065048.79,12,17717.20,85,5149.65,577,390.15,4912,53.45,114420,26.25,210803,15.95
1463,2022-03-01,4,6,19,20,29,31,32,26,39,,32,4,3,3,4,2,2,1,2,0,0,0.00,1,148588.70,64,4779.95,437,360.00,3698,49.65,83281,25.20,144665,16.25
1462,2022-02-22,14,26,32,34,38,39,43,2,44,,,1,6,2,5,0,1,1,4,1,0,0.00,3,36376.55,49,4585.30,271,426.40,2410,55.95,53772,28.65,94404,18.30
1461,2022-02-15,5,7,9,16,28,37,41,31,35,,7,4,3,5,2,3,1,1,1,1,1,10000000.00,2,86936.70,71,5041.90,453,406.40,4394,48.90,97575,25.15,166015,16.55
1460,2022-02-08,1,4,7,17,25,32,45,26,36,,,4,3,5,2,3,1,1,1,1,0,0.00,3,42285.50,62,4212.50,329,408.25,3460,45.30,77963,22.95,127326,15.75
1459,2022-02-01,8,10,20,23,37,43,44,12,18,,,3,4,3,4,2,1,1,1,2,0,0.00,8,13795.35,47,4834.40,325,359.55,2486,54.85,58344,26.70,106651,16.35
1458,2022-01-25,4,11,17,22,26,31,36,6,16,,17,4,3,3,4,1,2,2,2,0,2,25000000.00,15,35587.40,291,3776.70,1726,327.45,15044,43.85,322170,23.40,552889,15.30
1457,2022-01-18,3,9,14,17,30,37,38,12,34,,"3,37,38",4,3,4,3,2,2,1,2,0,0,0.00,16,23078.75,193,3939.10,975,401.00,8859,51.50,202762,25.70,364290,16.05
1456,2022-01-11,1,3,18,22,32,37,38,7,15,,,4,3,3,4,2,1,1,3,0,0,0.00,8,35626.50,138,4252.10,795,379.60,6691,52.60,149400,26.95,285955,15.75
1455,2022-01-04,5,6,11,24,25,26,44,34,35,,25,3,4,3,4,2,1,3,0,1,0,0.00,3,56343.85,103,3378.70,437,409.55,4562,45.75,99060,24.10,159716,16.75
1454,2021-12-28,14,20,25,31,41,42,45,3,6,,14,2,5,4,3,0,2,1,1,3,0,0.00,2,55679.70,58,3952.90,302,390.45,2415,56.95,55096,28.55,100356,17.55
1453,2021-12-21,3,14,18,26,30,36,43,9,13,,"3,26",3,4,2,5,1,2,2,1,1,0,0.00,4,25922.20,69,3093.85,370,296.70,2762,46.35,58351,25.10,108965,15.05
1452,2021-12-14,1,3,23,26,31,34,41,16,36,,,2,5,5,2,2,0,2,2,1,1,2618060.50,0,0.00,47,7241.15,319,369.30,2519,54.55,58279,26.95,101478,17.35
1451,2021-12-07,12,17,22,28,33,36,40,24,45,,36,3,4,2,5,0,2,2,3,0,2,15000000.00,14,26943.05,200,3882.95,1135,351.90,9842,47.35,212757,25.05,362945,16.45
1450,2021-11-30,3,5,7,34,36,39,42,1,2,,7,3,4,4,3,3,0,0,3,1,0,0.00,5,47564.35,111,4411.10,568,443.35,5651,52.00,125564,26.75,233030,16.15
1449,2021-11-23,4,7,10,17,19,26,38,22,23,,38,5,2,3,4,3,2,1,1,0,0,0.00,12,15395.95,91,4179.90,799,244.85,5293,43.10,117184,22.25,213161,13.70
1448,2021-11-16,13,24,32,34,35,38,39,8,19,,,1,6,3,4,0,1,1,5,0,0,0.00,5,26667.25,56,4902.05,329,429.10,3063,53.75,66764,28.20,123360,17.10
1447,2021-11-09,6,11,17,36,40,44,45,19,27,,,3,4,3,4,1,2,0,2,2,0,0.00,2,55443.00,44,5188.50,290,404.85,2420,56.60,57369,27.30,111450,15.75
1446,2021-11-02,1,4,8,23,25,31,38,11,44,,1,3,4,4,3,3,0,2,2,0,2,25000000.00,31,18692.35,327,3648.35,1846,332.35,15054,47.55,330378,24.75,603751,15.20
1445,2021-10-26,1,13,15,17,32,44,45,8,34,,13,4,3,5,2,1,3,0,1,2,0,0.00,11,34690.05,147,5344.40,1034,390.75,8956,52.65,204671,26.30,370192,16.30
1444,2021-10-19,8,13,14,25,35,36,43,30,34,,13,3,4,4,3,1,2,1,2,1,0,0.00,4,61093.95,113,4452.45,590,438.55,5625,53.65,127795,27.00,230861,16.75
1443,2021-10-12,4,10,13,27,30,32,37,5,41,,"27,30,37",3,4,3,4,2,1,2,2,0,0,0.00,7,26913.25,107,3624.95,619,322.25,4902,47.45,107180,24.80,185970,16.05
1442,2021-10-05,5,11,12,22,27,30,37,4,29,,,4,3,4,3,1,2,3,1,0,0,0.00,5,27769.60,86,3324.00,494,297.60,4301,39.90,90006,21.80,154479,14.20
1441,2021-09-28,2,6,17,20,32,41,42,12,14,,42,4,3,2,5,2,2,0,1,2,0,0.00,3,37713.10,39,5972.65,309,387.70,2443,57.20,57042,28.00,108257,16.55
1440,2021-09-21,3,27,31,37,38,39,42,10,17,,,1,6,5,2,1,0,1,4,1,1,30000000.00,5,85548.60,185,4760.25,1226,369.40,10215,51.75,229875,26.25,412518,16.40
1439,2021-09-14,5,6,8,21,23,33,35,37,41,,21,4,3,5,2,3,0,2,2,0,0,0.00,3,101889.70,162,3884.70,857,377.65,7872,47.95,181143,23.80,290968,16.60
1438,2021-09-07,10,19,21,27,29,32,41,14,15,,,3,4,5,2,1,1,3,1,1,0,0.00,3,70714.45,76,5746.90,578,388.60,5044,51.95,117722,25.45,217073,15.45
1437,2021-08-31,8,14,17,18,34,36,42,30,40,,,4,3,1,6,1,3,0,2,1,0,0.00,2,65201.95,74,3628.10,387,356.80,2897,55.60,67495,27.30,122687,16.80
1436,2021-08-24,1,5,7,20,28,32,33,15,41,,"5,32",4,3,4,3,3,1,1,2,0,0,0.00,3,37359.35,42,5494.00,305,389.10,2852,48.55,66134,23.95,110754,16.00
1435,2021-08-17,5,15,18,32,35,38,44,16,42,,5,3,4,3,4,1,2,0,3,1,1,11002697.57,1,242586.35,116,4305.55,648,396.40,5785,51.80,128137,26.75,221664,17.30
1434,2021-08-10,2,5,17,22,30,43,45,4,24,,45,4,3,4,3,2,1,2,0,2,0,0.00,3,41485.45,63,4067.20,350,376.50,3066,50.15,68565,25.65,122657,16.05
1433,2021-08-03,4,6,7,28,37,38,45,29,43,,4,3,4,3,4,3,0,1,2,1,0,0.00,4,25163.95,45,4605.15,265,402.20,2246,55.35,52449,27.10,92959,17.15
1432,2021-07-27,1,4,30,35,39,43,44,11,38,,,2,5,4,3,2,0,1,2,2,2,5000000.00,5,36236.15,51,7314.10,467,410.80,3808,58.75,89368,28.60,166232,17.25
1431,2021-07-20,11,13,19,21,23,40,45,36,44,,13,4,3,6,1,0,3,2,1,1,0,0.00,2,65099.80,82,3269.00,355,388.35,3637,44.20,79246,23.20,126546,16.30
1430,2021-07-13,3,13,14,17,27,33,34,26,38,,33,4,3,5,2,1,3,1,2,0,0,0.00,2,53104.90,43,5085.30,314,358.15,2992,43.85,66042,22.70,103259,16.30
1429,2021-07-06,19,21,25,32,33,42,44,3,7,,19,2,5,4,3,0,1,2,2,2,1,20000000.00,7,41786.35,117,5147.15,825,375.40,6709,53.85,155430,26.55,297709,15.55
1428,2021-06-29,7,8,12,19,26,36,37,15,40,,,4,3,3,4,2,2,1,2,0,0,0.00,4,42566.85,74,4737.15,521,346.05,4519,46.55,102666,23.40,171334,15.75
1427,2021-06-22,5,10,17,20,21,27,43,4,6,,27,5,2,5,2,2,2,2,0,1,0,0.00,6,19815.15,67,3653.35,436,288.75,3485,42.15,74573,22.50,130749,14.40
1426,2021-06-15,11,18,19,23,27,36,45,12,29,,45,3,4,5,2,0,3,2,1,1,0,0.00,1,96296.70,71,2792.35,350,291.30,3061,38.85,61253,22.20,105020,14.50
1425,2021-06-08,7,8,9,14,16,33,45,15,24,,,5,2,4,3,3,2,0,1,1,1,10487834.11,4,50907.85,80,5240.50,577,373.65,5094,49.40,116359,24.70,204537,15.75
1424,2021-06-01,1,10,20,27,31,39,42,3,40,,"31,39",3,4,4,3,2,1,1,2,1,0,0.00,4,34770.40,73,3922.55,369,399.10,3379,50.85,74318,26.40,133711,16.45
1423,2021-05-25,12,15,22,28,31,36,39,1,38,,39,3,4,3,4,0,2,2,3,0,0,0.00,0,0.00,48,6551.45,270,403.15,2443,52.00,54466,26.65,95068,17.10
1422,2021-05-18,3,9,19,25,32,38,39,7,18,,"9,39",3,4,5,2,2,1,1,3,0,1,5628721.79,6,22844.15,60,4703.20,392,370.20,3106,54.50,72463,26.70,140169,15.45
1421,2021-05-11,4,9,13,21,30,36,39,26,37,,,4,3,4,3,2,1,2,2,0,0,0.00,4,25488.40,43,4881.50,270,399.80,2474,50.90,57519,25.00,98985,16.30
1420,2021-05-04,2,8,15,18,20,34,38,6,37,,34,5,2,1,6,2,3,0,2,0,3,5000000.00,4,53723.00,113,3915.25,651,349.50,5623,47.20,122664,24.75,207393,16.40
1419,2021-04-27,6,11,16,24,33,34,36,13,22,,11,3,4,2,5,1,2,1,3,0,0,0.00,3,44337.95,46,5953.30,383,367.70,3069,53.55,70651,26.60,135630,15.50
1418,2021-04-20,5,7,11,12,15,32,38,18,43,,7,5,2,4,3,2,3,0,2,0,0,0.00,1,99484.05,61,3357.70,250,421.35,2595,47.35,60271,23.30,100477,15.65
1417,2021-04-13,7,23,30,33,34,36,45,16,40,,30,1,6,4,3,1,0,2,3,1,1,35000000.00,7,46712.95,158,4260.85,868,398.90,7505,53.80,177520,26.00,311393,16.60
1416,2021-04-06,9,15,19,26,30,43,44,31,33,,30,3,4,4,3,1,2,2,0,2,0,0.00,7,37577.85,116,4668.65,739,376.90,6434,50.50,142758,26.00,253523,16.40
1415,2021-03-30,4,6,18,21,25,30,39,10,40,,4,4,3,3,4,2,1,3,1,0,0,0.00,5,44852.45,118,3912.85,565,420.25,5573,49.70,124956,25.35,221714,16.00
1414,2021-03-23,1,4,9,26,29,34,40,5,45,,"9,26",3,4,3,4,3,0,2,2,0,0,0.00,3,44905.80,65,4267.05,328,434.90,3219,51.70,74289,25.60,135768,15.70
1413,2021-03-16,9,20,23,25,26,32,43,11,15,,9,2,5,4,3,1,1,3,1,1,0,0.00,2,50567.90,29,7180.05,299,358.15,2201,56.75,53812,26.55,103750,15.40
1412,2021-03-09,9,11,13,14,17,21,38,10,37,,"14,17",6,1,5,2,1,4,1,1,0,1,30000000.00,13,27166.60,211,3446.00,1114,335.65,9631,45.30,212106,23.50,355435,15.70
1411,2021-03-02,3,12,14,17,33,42,44,18,38,,3,4,3,3,4,1,3,0,1,2,0,0.00,3,97181.15,122,4919.95,843,366.20,7318,49.20,160746,25.60,275873,16.70
1410,2021-02-23,3,4,10,22,29,32,36,2,40,,29,4,3,2,5,3,0,2,2,0,0,0.00,3,74367.80,93,4939.05,600,393.70,5336,51.65,124703,25.25,221143,15.95
1409,2021-02-16,6,14,15,19,29,40,45,17,21,,29,4,3,4,3,1,3,1,1,1,0,0.00,4,31250.30,44,5849.00,339,390.45,2892,53.40,67969,25.95,122770,16.10
1408,2021-02-09,2,5,13,18,24,29,43,27,35,,,4,3,4,3,2,2,2,0,1,0,0.00,0,0.00,71,4401.60,354,305.60,2871,43.95,61550,23.45,107100,15.10
1407,2021-02-02,3,14,16,17,26,42,44,37,38,,"3,42",4,3,2,5,1,3,1,0,2,1,30000000.00,8,50071.20,149,5534.90,1071,396.00,9654,51.25,215960,26.20,369122,17.15
1406,2021-01-26,3,12,22,25,29,34,42,1,26,,42,3,4,3,4,1,1,3,1,1,0,0.00,5,58798.85,146,4145.75,782,398.05,7345,49.45,166993,24.85,297122,15.65
1405,2021-01-19,13,14,16,18,21,28,42,5,33,,"14,28",5,2,2,5,0,4,2,0,1,0,0.00,5,40224.35,96,4313.25,620,343.45,5314,46.75,117595,24.15,205668,15.45
1404,2021-01-12,2,9,14,19,28,29,44,12,35,,9,4,3,3,4,2,2,2,0,1,0,0.00,0,0.00,57,7426.45,475,308.50,3776,45.25,84099,23.25,146272,14.95
1403,2021-01-05,6,9,11,20,33,42,45,22,31,,,4,3,4,3,2,2,0,1,2,0,0.00,2,54293.40,59,3789.15,323,355.95,2638,50.85,59798,25.65,108995,15.75
1402,2020-12-29,2,8,15,26,29,35,39,32,43,,35,3,4,4,3,2,1,2,2,0,1,10538803.91,16,12625.75,118,3524.65,600,356.50,5026,49.65,114482,24.90,193054,16.55
1401,2020-12-22,5,16,18,23,35,41,43,4,36,,,3,4,5,2,1,2,1,1,2,0,0.00,2,71649.35,60,4917.10,387,392.05,3380,52.35,75464,26.80,131626,17.25
1400,2020-12-15,6,21,25,26,29,39,42,19,35,,6,2,5,4,3,1,0,4,1,1,0,0.00,1,102572.90,28,7542.15,248,437.95,2198,57.65,53163,27.25,99543,16.30
1399,2020-12-08,5,6,11,15,23,38,41,25,29,,"6,11,38",4,3,5,2,2,2,1,1,1,1,5908524.34,2,70732.75,66,4412.90,369,405.95,3329,52.50,78595,25.40,145172,15.40
1398,2020-12-01,4,6,11,16,21,37,38,8,42,,,5,2,3,4,2,2,1,2,0,0,0.00,4,27388.00,43,5245.30,324,358.00,2642,51.20,60927,25.40,111875,15.50
1397,2020-11-24,9,15,17,25,26,31,35,2,12,,"25,31",3,4,6,1,1,2,2,2,0,1,2496744.04,3,35400.55,48,4555.20,336,334.65,2676,49.00,60395,24.85,110969,15.15
1396,2020-11-17,2,10,25,27,31,33,39,20,37,,,2,5,5,2,2,0,2,3,0,4,7500000.00,11,37377.95,182,4651.10,1080,403.10,9712,52.30,226919,25.60,403926,16.10
1395,2020-11-10,5,8,19,20,24,32,38,25,34,,"8,19",4,3,2,5,2,2,1,2,0,0,0.00,10,30044.20,131,4721.80,856,371.65,7466,49.70,172618,24.55,298717,15.90
1394,2020-11-03,8,13,19,31,39,44,45,12,33,,"13,39",3,4,5,2,1,2,0,2,2,0,0.00,1,188716.65,88,4415.15,490,407.80,4554,51.20,102384,26.00,182815,16.35
1393,2020-10-27,12,13,15,21,32,39,43,24,29,,"21,32,43",4,3,5,2,0,3,1,2,1,0,0.00,4,33354.50,40,6867.10,349,404.75,2951,55.85,68378,27.55,126788,16.65
1392,2020-10-20,9,14,21,26,28,32,43,17,35,,43,3,4,3,4,1,1,3,1,1,0,0.00,2,55308.00,41,5554.60,316,370.65,2753,49.65,60178,25.95,109780,15.95
1391,2020-10-13,8,11,13,20,38,39,43,3,6,,"13,43",4,3,4,3,1,3,0,2,1,2,1251386.05,2,53141.30,70,3125.95,348,323.40,2932,44.80,58710,25.55,112382,14.95
